Year,Month,IR
2010,1,0.000512
2010,2,0.000328
2010,3,0.000149
2010,4,0.000049
2010,5,0.000013
2010,6,0.000005
2010,7,0.000005
2010,8,0.000005
2010,9,0.000007
2010,10,0.000009
2010,11,0.000037
2010,12,0.000181
2011,1,0.000334
2011,2,0.000403
2011,3,0.000219
2011,4,0.000052
2011,5,0.000017
2011,6,0.000009
2011,7,0.000007
2011,8,0.000009
2011,9,0.000014
2011,10,0.000018
2011,11,0.000058
2011,12,0.000206
2012,1,0.000362
2012,2,0.000306
2012,3,0.000161
2012,4,0.000069
2012,5,0.000027
2012,6,0.000017
2012,7,0.00001
2012,8,0.000013
2012,9,0.00002
2012,10,0.000041
2012,11,0.000161
2012,12,0.000401
2013,1,0.000345
2013,2,0.000264
2013,3,0.000124
2013,4,0.000052
2013,5,0.000023
2013,6,0.000015
2013,7,0.000007
2013,8,0.000007
2013,9,0.000029
2013,10,0.000056
2013,11,0.000184
2013,12,0.000351
2014,1,0.000295
2014,2,0.000189
2014,3,0.000098
2014,4,0.000046
2014,5,0.000017
2014,6,0.000007
2014,7,0.000006
2014,8,0.000006
2014,9,0.000012
2014,10,0.000029
2014,11,0.000078
2014,12,0.000228
2015,1,0.000382
2015,2,0.000391
2015,3,0.000149
2015,4,0.000051
2015,5,0.000018
2015,6,0.000012
2015,7,0.000009
2015,8,0.000007
2015,9,0.000011
2015,10,0.000025
2015,11,0.000099
2015,12,0.000283
2016,1,0.000397
2016,2,0.00035
2016,3,0.000169
2016,4,0.000066
2016,5,0.000032
2016,6,0.000018
2016,7,0.00001
2016,8,0.000013
2016,9,0.000027
2016,10,0.000054
2016,11,0.000217
2016,12,0.00047
2017,1,0.000438
2017,2,0.000288
2017,3,0.00012
2017,4,0.000049
2017,5,0.000027
2017,6,0.000012
2017,7,0.000013
2017,8,0.000016
2017,9,0.000048
2017,10,0.000114
2017,11,0.000382
2017,12,0.000568
2018,1,0.000478
2018,2,0.000327
2018,3,0.000151
2018,4,0.000076
2018,5,0.000034
2018,6,0.000019
2018,7,0.000012
2018,8,0.000019
2018,9,0.000041
2018,10,0.000122
2018,11,0.000358
2018,12,0.000613
2019,1,0.000472
2019,2,0.000306
2019,3,0.000165
2019,4,0.000069
2019,5,0.000035
2019,6,0.00002
2019,7,0.000018
2019,8,0.000025
2019,9,0.00005
2019,10,0.000178
2019,11,0.000617
2019,12,0.000893
2020,1,0.000543
2020,2,0.000288
2020,3,0.000143
2020,4,0.000013
2020,5,0.000007
2020,6,0.000004
2020,7,0.000003
2020,8,0.000005
2020,9,0.000003
2020,10,0.000005
2020,11,0.000006
2020,12,0.00002
2021,1,0.000013
2021,2,0.000007
2021,3,0.000015
2021,4,0.000034
2021,5,0.000112
2021,6,0.00037
2021,7,0.000709
2021,8,0.000753
2021,9,0.000707
2021,10,0.000539
2021,11,0.000443
2021,12,0.000304
2022,1,0.000118
2022,2,0.000068
2022,3,0.00006
2022,4,0.000081
2022,5,0.000186
2022,6,0.000315
2022,7,0.000299
2022,8,0.000317
2022,9,0.000609
2022,10,0.001402
2022,11,0.002182
2022,12,0.000967
2023,1,0.000311